"Name"
"Administrators"
"Users"
"Guests"
"Remote Desktop Users"
"Network Configuration Operators"
"Performance Monitor Users"
"Performance Log Users"
"Distributed COM Users"
"IIS_IUSRS"
"Cryptographic Operators"
"Event Log Readers"
"Certificate Service DCOM Access"
"Domain Computers"
"Cert Publishers"
"Domain Users"
"Domain Guests"
"RAS and IAS Servers"
"Incoming Forest Trust Builders"
"Terminal Server License Servers"
"Domain Admins"
"Schema Admins"
"Enterprise Admins"
"Group Policy Creator Owners"
"Pre-Windows 2000 Compatible Access"
"Windows Authorization Access Group"
"Allowed RODC Password Replication Group"
"Denied RODC Password Replication Group"
"Enterprise Read-only Domain Controllers"
"Replicator"
"Backup Operators"
"Server Operators"
"Account Operators"
"Print Operators"
"Domain Controllers"
"Read-only Domain Controllers"
"DnsAdmins"
"DnsUpdateProxy"
"SQLServer2005SQLBrowserUser$D01-DC001"
"SQLServer2005MSSQLServerADHelperUser$D01-DC001"
"SQLServer2005MSSQLUser$D01-DC001$SQLEXPRESS"
